teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,cleaned_teaching,cleaned_coursecontent,cleaned_Examination,cleaned_labwork,cleaned_library_facilities,cleaned_extracurricular
0,not all the teachers are teaching well but it's fine,1.0,good,-1.0,very strict,1,good,1.0,library has providing excellent facilities,1,good,not all teachers teaching well its fine,good,very strict,good,library has providing excellent facilities,good
1,EXCELLENT,1.0,GOOD,1.0,It is a good way in pattern,1,good,1.0,It will provide us various books to increase our knowledge or to understand the  concept because it is good,1,It is good ,excellent,good,it good way pattern,good,it will provide us various books increase our knowledge understand concept because it good,it good
1,"The faculty is good ,interaction between student and teacher is also good",1.0,content of the course is good ,1.0,good,1,good,1.0,good,1,good,faculty good interaction between student teacher also good,content course good,good,good,good,good
-1,not good,-1.0,syllabus is not in debth,1.0,good,1,good,1.0,good,1,good,not good,syllabus not debth,good,good,good,good
1,Good,1.0,Excellent,-1.0,Not good,1,Good,1.0,Good,1,Good,good,excellent,not good,good,good,good
1,Good,1.0,Very good,1.0,Very good,1,Good,1.0,Good,1,Excellent,good,very good,very good,good,good,excellent
-1,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),1.0,as per the courses all the sub are providing  worth knowledge,-1.0,as per the exam pattern maths exam always have to be subjective rather than objective.,1,as per the lab evaluation we r satisfied with  it,-1.0,duration of issuing   books from library should be changed from 1week to 2 week that would be great.,1,that's  great,some our faculty member not so experienced thats why most time we facing problems subjects like csec,as per courses all sub providing worth knowledge,as per exam pattern maths exam always have be subjective rather than objective,as per lab evaluation we r satisfied it,duration issuing books library should be changed week week that would be great,thats great
1,good,1.0,very good,1.0,all good,1,good,-1.0,absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,1,best,good,very good,all good,good,absolutely fine all books there thing that time limit very less we have return book that we have issued very fast,best
1,its to good ,0.0,i dont know,-1.0,its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,1,lab and practical work are litial good,0.0,i dont think about ,0,hahahah,its good,i dont know,its very bad thing not sowing answer mcq exam we dont jiged what rigth rong where mak mistacvk,lab practical work litial good,i dont think about,hahahah
1,everything is good ,1.0,regarding the courses everything is good,1.0,coming to the examinations it is good,1,good,,very good,1,very good it is a good oppurtunities to many students,everything good,regarding courses everything good,coming examinations it good,good,very good,very good it good oppurtunities many students
-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",1.0,coming to the courses these are very well planned... and it all depends on the lectures.,0.0,In CA's its in the hands of lectures... while in mte's and ete's its good.,-1,not very good... must be improved.,1.0,very good.,1,there are many oppertunities for students .. its all upon students about how they utilize them.,everything good when coming some lectures who dont have good grip subjectthey dont behave well students they dont even teach all concepts subject,coming courses these very well planned it all depends lectures,cas its hands lectures while mtes etes its good,not very good must be improved,very good,there many oppertunities students its all upon students about how they utilize them
1,excellent,1.0,good,0.0,i think mid trem should be also subjective ,1,good,1.0,good,1,excellent,excellent,good,i think mid trem should be also subjective,good,good,excellent
0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",1.0,good,1.0,exam pattern and marks distribution are good,1,very good,1.0,very good,1,excellent,everything good regarding university some lecturers dont have grip subject lag teaching,good,exam pattern marks distribution good,very good,very good,excellent
0,normal,1.0,good,1.0,good,-1,bad,1.0,good,1,good,normal,good,good,bad,good,good
1,good,1.0,good,1.0,very good,1,good,1.0,good,1,"good
",good,good,very good,good,good,good
1,good,1.0,upto the mark,1.0,good,1,good,1.0,good,0,average,good,upto mark,good,good,good,average
1,teaching activities of our university is good. i am satisfied with it.,1.0,It is so good.,1.0,Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,1,With the help of practicals students are able to understand all the concept.so it is also good.,1.0,It is excellent.,1,It is excellent.,teaching activities our university good i am satisfied it,it so good,examination pattern marks distribution all terms goodca mte also give chance students improving,help practicals students able understand all conceptso it also good,it excellent,it excellent
1,GOOD,1.0,GOOD,1.0,GOOD,1,GOOD,1.0,GOOD,0,Poor,good,good,good,good,good,poor
1,everything is good for faculty,1.0,excellent,0.0,in examinations please try to give question papers,1,very good,1.0,good ,1,some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,everything good faculty,excellent,examinations please try give question papers,very good,good,some universities not conducted any extracurricular activities our university doing these it good our feature
1,satisfactory,0.0,content of course is ample but depth must be more,1.0,very good,1,good,-1.0,library facilities need to be improve by bringing some more books,1,good,satisfactory,content course ample depth must be more,very good,good,library facilities need be improve bringing some more books,good
1,GOOD,0.0,COURSE IS GOOD NO PROPER COURSE MATERIAL,1.0,GOOD AND STRICT,1,LAB IS VERY GOOD,1.0,EXELLENT,1,IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,good,course good no proper course material,good strict,lab very good,exellent,it very much useful we can participate our interests
1,all are good,1.0,excellent,-1.0,not much good ,1,good,1.0,excellent,1,very good,all good,excellent,not much good,good,excellent,very good
0,good but not good . sir improve the subject,1.0,good,0.0,exams conducting is very good .but paper correction is very bad,-1,not good...... must be improve,1.0,good ,1,excelent,good not good sir improve subject,good,exams conducting very good paper correction very bad,not good must be improve,good,excelent
0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",-1.0,Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,0.0,The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,1,Lab evaluations are good.,1.0,Library facilities are the strength of this university. It is awesome.,1,Quite a lot of events are organized and students have a all round growth which is a nice thing.,university good it also has long way go more teachers should have their phd college fests related academic curriculum must be improved great extent must be managed properlythe interaction good lecture delivery needs more lucidity punctuality top notch,content courses should be changed bit more industry oriented feature like linux github must be implemented proper detailing advanced knowledge required be instilled studentsthe course material good,examination pattern good more logic based subjective questions be asked which based upon conceptual learning paper checking must be done more lucid manner because many doubts arise checking omr sheet,lab evaluations good,library facilities strength this university it awesome,quite lot events organized students have all round growth which nice thing
1,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",1.0,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",1.0,all these are good,0,it was good but it can be improved,1.0,good,1,very good,our university good punctualitylecture delivery it not good terms interaction,good it knowledgeabledepth course goodthere proper course materials only some subjects,all these good,it good it can be improved,good,very good
0,average,0.0,average,1.0,the best pattern of examination are in lpu .,-1,"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",0.0,Almost each and every books is there.But the time limit for keeping book is too much shorted. ,-1,Activities are not up to the mark as  advertisement.,average,average,best pattern examination lpu,most teacher dont even bother about practical performed studentsthey give marks just seeing face something like that,almost each every books therebut time limit keeping book too much shorted,activities not up mark as advertisement
-1,"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",1.0,good,0.0,mid term percentage should be increased so that students get more choice to get success in the examinations,-1,good  but marks are not given properly ,-1.0,"waste ,library is not the good place to study",1,very well,interaction very less when it comes lecture delivery its fine co cordination not there between lectueres,good,mid term percentage should be increased so that students get more choice get success examinations,good marks not given properly,waste library not good place study,very well
1,good,1.0,good,1.0,very good,1,good,1.0,good,1,"good
",good,good,very good,good,good,good
1,All lectures are giving their best to teach the students,1.0,Excellent,1.0,Good,1,Excellent,1.0,Good,1,Excellent ,all lectures giving their best teach students,excellent,good,excellent,good,excellent
-1,our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic ,1.0,very good and you can also increase the standard of Courses,1.0,"good
",0,practicals are good but evaluations are not because they don't give enough time to work ,0.0,It's good but we don't find the books because their are much less number of books,0,It's good but we don't get sufficient time for participating in that activities,our university very good terms interaction teachers wd students not all fair because they interact wd only students understands hisher teaching they dont make remaining students understand topic,very good you can also increase standard courses,good,practicals good evaluations not because they dont give enough time work,its good we dont find books because their much less number books,its good we dont get sufficient time participating that activities
1,The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,1.0,The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,1.0,The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,1,They are conducted in proper way.,1.0,perfect,1,unbiased,university consists whole world itselfit diverse manages conduct all events properlyi love being part this university where we get equal all opportunities all respects fields,courses available university have got scope teaching these courses goes point view bringing out best student indulging them different activities projects,examination system university very impressivethe sitting plan he students made such way that no students same class give exam same room even sometimes same blocksthrough this students also get know visit different blocks universitythe checking also fair,they conducted proper way,perfect,unbiased
1,"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",1.0,content of course is more than enough to get the basics of that particular subject.,1.0,Everything is pretty well organised,0,Teachers are supposed to let the students know the actual use of the instruments used in the lab.,1.0,They are good.,1,LPU gives the best opportunity for the students to show their talent.,teachers pretty interactivebut it all depends student gain as much as knowledge he can teacherteachers punctual very helpful during exams time,content course more than enough get basics that particular subject,everything pretty well organised,teachers supposed let students know actual use instruments used lab,they good,lpu gives best opportunity students show their talent
0,teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,0.0,courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,1.0,good ,1,excellent ...they  work hard..their way of teaching is also pretty good,1.0,excellent,1,these are very usefull to students .excellent,teaching delivery good it better reduce there speed lecture delivery understand student better,courses also good lt subjects cse departments st year it feels like burden upon us,good,excellent they work hardtheir way teaching also pretty good,excellent,these very usefull students excellent
1,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 ",1.0, my rating in this is 4/5,1.0,very good 5/5,0,average 3.5/5,1.0,it is very nice and timings of library is good 5/5,0,"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",overall rating this activity very nice teaching interaction between students lectures good every time there will be new fresh style delivering lectures thanks,my rating this,very good,average,it very nice timings library good,there lot extracurricular activites held university so many them unknown us problem there no such ads viewed us my rating
0,"excellent, but reduse the speed of teaching  ,up to understand the students",0.0,"good,they work very hard for us",1.0,good,1,good,1.0,excellent,1,these are very use full to the sudents forphysical activity and improvement of knowledge,excellent reduse speed teaching up understand students,goodthey work very hard us,good,good,excellent,these very use full sudents forphysical activity improvement knowledge
0,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",1.0,good,-1.0,for some subjects like maths and english(passage writing) the time duration neds to increase,0,"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",0.0,"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",1,good,teaching ok interaction students need improve i mean they have focus dull students more than intelligents,good,some subjects like maths englishpassage writing time duration neds increase,labsthe lecturers has interact each student improve their knowledge all waysbefore giving us work they must explain about experiment once so that we will come know how perform n take precautions while doing,good there more need keeping books general topics about socialpolitygketc other than related subject so that we will get some knowledge about country related issues,good
1,Interaction is good but it should b more ...rest is too perfect,-1.0,syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,0.0,"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated ",1,Good,1.0,Good,-1,Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses ,interaction good it should b more rest too perfect,syllabus more which required time it should b less so that student can proper concentrate getting knowlegde instead just covering syllabusgood,pattern good marks distribution that includes camtet nd attendence all that little complicated,good,good,sometimes study burden that much that we can not participate these activities there should b one activity complusory every student like all other courses
1,"teachers are good in subject,and punctuality",1.0,good,1.0,good,1,ok,1.0,good,1,excellent,teachers good subjectand punctuality,good,good,ok,good,excellent
0,Everything would be fine if there are less number of students in our btech CSE.,-1.0,when compared to other universities we need better material and exposure.,1.0,every thing is fine.,1,its fine.,0.0,Books are heavily outnumbered when compared to number of students this is the only problem with library.,1,it helps in building up university's reputation.,everything would be fine if there less number students our btech cse,when compared other universities we need better material exposure,every thing fine,its fine,books heavily outnumbered when compared number students this only problem library,it helps building up universitys reputation
1,good ,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
0,faculties are doing quite well but need more senior lecturers.,-1.0,the content of the course should be increased with the depth.,1.0,Probably the best part of university is its examination and its pattern.,-1,More number of lab/practicals should be there to enhance practical knowledge.,-1.0,Insufficient books ,1,It was quite great and unique.,faculties doing quite well need more senior lecturers,content course should be increased depth,probably best part university its examination its pattern,more number labpracticals should be there enhance practical knowledge,insufficient books,it quite great unique
1,satisfied,1.0,content provided by you is excellent so that we learnt more and more about that particular subject,1.0,"I have never seen this type of examination,,,,,,,very GOOD  pattern",1,Here we r able to do every thing by our own with u r valuable support ,1.0,"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",1,EXTRAORDINARY,satisfied,content provided you excellent so that we learnt more more about that particular subject,i have never seen this type examinationvery good pattern,here we r able do every thing our own u r valuable support,i have no words say about our library facilities simply awesome,extraordinary
1,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


",1.0,content of course is appropriate ,-1.0,"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


",1,pretty good,,good but timings should be 24hrs,1,they are good,examination department not good teaching quite good i cant get extra time extra knowledge interaction good,content course appropriate,examination checking sucks here dont knw why i get low marks even if qustions wrong answer key exam absurd discrepancy system not advantageous answers exam not right omr should be uploaded,pretty good,good timings should be hrs,they good
1,Well and Good,-1.0,The content of course should be increase with depth,1.0,It is best,1,Very Good,-1.0,insufficient books,1,it was quite great and unique,well good,content course should be increase depth,it best,very good,insufficient books,it quite great unique
1,Good,1.0,Good,1.0,Good,1,Good,0.0,"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
",1,Very good,good,good,good,good,library facility very good there problem collection books available books very less some subjects,very good
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
0,university management is extordinary but some of the faculty is very bad,-1.0,In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,-1.0,"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",-1,There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,1.0,good enough.,1,"it is relly awesome,extirdinary and marvellous but no time to attend",university management extordinary some faculty very bad,my opnion very less content their our syllabusit will be good if there more syllabus depth included our syllabus,examination pattern good butthere blunder mistakethat we ha no alternate check mistake where we have done morever no question papers also not given discussionso i suggest toprovide option checking mistakes mcq exams such as midterm,there no sufficient lab equipments labs avilable euipments also not perfect,good enough,it relly awesomeextirdinary marvellous no time attend
1,good,-1.0,some of the faculty are not uploading ppts,1.0,good,1,good,1.0,good,1,good,good,some faculty not uploading ppts,good,good,good,good
1,good,1.0,ok,1.0,ok,1,good,-1.0,rough handling,1,good,good,ok,ok,good,rough handling,good
1,good,1.0,good,1.0,good,1,good,-1.0,books are not available,1,good,good,good,good,good,books not available,good
0,"some lectures are excellent,but not everyone",1.0,excellent,1.0,excellent,1,super,1.0,librery facilities are excellent,1,nice,some lectures excellentbut not everyone,excellent,excellent,super,librery facilities excellent,nice
1,It is very good learning in this university,1.0,it is good learning these courses,-1.0,time not sufficient,0,it is good leaning in lab but the lab instruments are not properly working,-1.0,Very rough handling,1,good,it very good learning this university,it good learning these courses,time not sufficient,it good leaning lab lab instruments not properly working,very rough handling,good
0,its  booring,-1.0,its very tough and very diffcult to understand,1.0,good,1,very bad,1.0,good,1,that is only good in this university,its booring,its very tough very diffcult understand,good,very bad,good,that only good this university
1,good,1.0,Nice,1.0,exam pattern is good ,1,good,1.0,library facilites are good,1,good,good,nice,exam pattern good,good,library facilites good,good
1,Good,0.0,yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,1.0,excellent!!!,1,good,0.0,yeah quite well but ... some of the books are not available,1,excellent..... u r the best in providing facilties and etc .. for extra curricular activities,good,yeah well some faculty not teaching well schedule university superb university asked feedback us that really helpful,excellent,good,yeah quite well some books not available,excellent u r best providing facilties etc extra curricular activities
0,teaching is good but some lecturers are showing partiality between south people and north people,1.0,good,0.0,every thing is excllent but paper checking is not good,1,labs are very interesting it is helpful to know the knowledge,1.0,library facilities is good,1,extracurricular activities are also good,teaching good some lecturers showing partiality between south people north people,good,every thing excllent paper checking not good,labs very interesting it helpful know knowledge,library facilities good,extracurricular activities also good
1,excellent,0.0,The content of the courses are good but depth of courses are not enough to get the good concepts.,-1.0,We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,-1,According to me students are doing lab only for marks .,1.0,good,1,excellent,excellent,content courses good depth courses not enough get good concepts,we dont get answers key even question papers our mcq examsthere should be some means which we could recheck our answers get know what mistakes we have made,according me students doing lab only marks,good,excellent
0,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
",1.0,content is sufficient for us ,0.0,  exam pattern is very nice but paper checking is not at all good .,1,lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,1.0,library facilty is good,1,university offers alkot of activities which is excellent on their part as students are able to explore themselves,teaching good some teachers not able interact properly not able clear concepts properly teachers punctual,content sufficient us,exam pattern very nice paper checking not all good,lab practical work help us learn things properly evalution also very necessary as it helps us retain concepts,library facilty good,university offers alkot activities which excellent their part as students able explore themselves
1,good,1.0,excellent,1.0,good,1,good,1.0,super,1,super,good,excellent,good,good,super,super
1,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",,"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.",0.0,Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,1,Lab or practical work is excellent and yes including evaluations also.,1.0,"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",1,Extracurricular activities are good. It helps people to know their talent and build up their skills.,everything very good interaction part something like teachers mostly interact each every student lecture delivery very good punctuality always maintains,content courses good these very knowledgeable depth course also there sometimes proper course material not there,exam pattern marks distribution excellent sometimes there some errors paper checking,lab practical work excellent yes including evaluations also,library facilities good it maintains silence there makes good environment study sometimes it goes very strict which not required according me,extracurricular activities good it helps people know their talent build up their skills
1,good,1.0,good,1.0,good,1,good,0.0,uncertain,1,good,good,good,good,good,uncertain,good
1,"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",1.0,"I like communication classes,courses are good",0.0,exam  pattern is very good but if you give question papers to students it is helpful ,1,lab is very much helpful,1.0,I like reading books in Library,1,I am really enjoying ,i am very much satisfied teaching faculty interms iteractionlecture delivery punctuality etc,i like communication classescourses good,exam pattern very good if you give question papers students it helpful,lab very much helpful,i like reading books library,i am really enjoying
-1,they are showing partiality between north indians and south indians,1.0,they are giving good knowledge for us,1.0,its better,-1,in lab also they are showing parilaty,1.0,i felt its better because there is no problem from library facilities,1,i felt happy because it encourages our talents,they showing partiality between north indians south indians,they giving good knowledge us,its better,lab also they showing parilaty,i felt its better because there no problem library facilities,i felt happy because it encourages our talents
1,good,1.0,Excellent,1.0,Excellent,1,Good,0.0,Average,1,Excellent,good,excellent,excellent,good,average,excellent
1,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

",1.0,"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good

",1.0,"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

",-1,Lab evaluations are very strict,0.0,Excellent     but sometimes lack of books especially during exam times,1,Outstanding,interaction satisfying lecture delivery good punctuality excellent,knowledgeable good depth course satisfying proper course material also good,exam pattern very good marks distribution good sometimes disappointing paper checking ok,lab evaluations very strict,excellent sometimes lack books especially during exam times,outstanding
-1,staff is showing partiality between north indians and south indians ,1.0,its good,1.0,yeah its obviously good,1,good,0.0,libary is giving a lot to us  but we are not getting it,1,better,staff showing partiality between north indians south indians,its good,yeah its obviously good,good,libary giving lot us we not getting it,better
1,excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,1.0,every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,1.0,exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,-1,the lab evaluations are very strict ,1.0,excellent,1,excellent  simply superb,excellent university mode teaching completely different than any other university india lecturers very friendly every one they interact just like friends they very punctual,every thing good subjects have very good depth almost all books available library more than that,exam pattern completely different entire exams objective oriented resumbling education abroad my review,lab evaluations very strict,excellent,excellent simply superb
0,lecture delivery and punctuality was good but the interaction with students was not good.,1.0,good,1.0,everything was good.,1,labs n practicals are good.,0.0,"i've never went to library in lpu.so,i don't know about that.",-1,"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",lecture delivery punctuality good interaction students not good,good,everything good,labs n practicals good,ive never went library lpusoi dont know about that,before coming lpu i thought sports very good n encouragingbut there many politics sports especially cricket
0,punctuality and lecture is good here but interaction isn't good.,1.0,Its nice .,1.0,everything is good.,1,practicals are pretty well.,0.0,I don't know abt that bcoz i didn't go to library till now.,-1,not every one is getting opportunities here only recommended students getting.,punctuality lecture good here interaction isnt good,its nice,everything good,practicals pretty well,i dont know abt that bcoz i didnt go library till now,not every one getting opportunities here only recommended students getting
1,good enough,-1.0,not good ,0.0,"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",1,good,1.0,facilities are good to overcome one's need,1,it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,good enough,not good,excellent checking procedure not exceptable since we fail know our faults mid term,good,facilities good overcome ones need,it seems me very good since it good source interaction other built leadership quilities overcome our faults
1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",1.0,"The material provided in this university is depth of course, The courses in this university is knowledgeable
",1.0,"Excellent exam pattern, paper checking in this university is easy

",1,There is good evaluations in lab regarding practicle ,1.0,good,1,They are sportive,this university there good interaction students teachers this university can deliver lectures effectively there good punctuality this university,material provided this university depth course courses this university knowledgeable,excellent exam pattern paper checking this university easy,there good evaluations lab regarding practicle,good,they sportive
1,Very good indeed. ,1.0,The depth of course is very much  deep. According to me its very essential,0.0,I don't like the -ve marking system. appart from that everything is great,1,Very good,-1.0,Required text books are not available to every student,1,One of the best things I like about this university. The best of all.,very good indeed,depth course very much deep according me its very essential,i dont like ve marking system appart that everything great,very good,required text books not available every student,one best things i like about this university best all
1,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",0.0,Some subjects are good and predictable.Remaining courses are not satisfactory,-1.0,"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",1,Its Good,1.0,Its good,1,They are extraordinary,teaching excellentbut lecture delivery not up markpunctuality good,some subjects good predictableremaining courses not satisfactory,returning question paper after exams be expectedbecause clear clarify doubts regarding particular subjects,its good,its good,they extraordinary
0,interaction of some faculty was good but not all faculty..,0.0,depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,1.0,examination pattern was excellent,0,lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,0.0,library facilities are excellent...but only limited books are available ..so books should be increased.,1,extra curricular are so good. university is providing many pathways to many students....apart from education,interaction some faculty good not all faculty,depth course good providing basic knowledge not so deep subjectsat least they should provide deep knowledge syllabus core subjects,examination pattern excellent,lab practical works goodwith little draw back faculty connecting lab practical outside world,library facilities excellentbut only limited books available so books should be increased,extra curricular so good university providing many pathways many studentsapart education
1,"good, and also like the teaching style",1.0,I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,1.0,good,1,I like it soo much,1.0,good ,1,good,good also like teaching style,i like this very much because every subject linked up real life situations every thing subject use full,good,i like it soo much,good,good
1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",0.0,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",1.0,"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",1,Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,-1.0,The library has insufficent number of books for all the students,1,good they are knowledgebale and helps us interacting with other students,interaction between students teachers good lectures delivery fine punctuality good,depth course depended level student intake course material delivered after class ums,exams conducted upon basis revised chapters upto that point marks distribution appropriate paper checking good,lab good prof explains everything before lab begins lab asst helps us during experiments,library has insufficent number books all students,good they knowledgebale helps us interacting other students
1,not bad,1.0,good,0.0,very hard papers and main concept papers,-1,very strcitly they evaluted marks ,1.0,very good there we can find several course books and we can find several reference books also...,1,in this university there is lot of events and lot of extra curriclar activities.... ,not bad,good,very hard papers main concept papers,very strcitly they evaluted marks,very good there we can find several course books we can find several reference books also,this university there lot events lot extra curriclar activities
1,Its Quite Good,1.0,Pretty Good ,1.0,Good ,1,Good enough,0.0,"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",1,Excellent,its quite good,pretty good,good,good enough,library vast has got wide variety books i think more number specimen copies books should be made available,excellent
1,very good indeed,1.0,Is good,-1.0, Not so good,1,very good,1.0,good,1,The best,very good indeed,good,not so good,very good,good,best
1,not bad..,-1.0,not good enough.. we want something more.,-1.0,strict paper correction.,1,nice..enough,1.0,fine  ,1,good..,not bad,not good enough we want something more,strict paper correction,niceenough,fine,good
0,teaching is good some lecturers are showing partiality between south people and north people,1.0,good,0.0,super but paper checking is not good,1,labs are interesting and helpful toknoe the knowledge,1.0,good,1,excllent,teaching good some lecturers showing partiality between south people north people,good,super paper checking not good,labs interesting helpful toknoe knowledge,good,excllent
0,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,-1.0,LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,1.0,NICE TIMING..,-1,NOT GOOD ...,0.0,VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,-1,VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,i student boarding school jnv i studied years there residing hostel now living lpu same like thatand still more same punctuality shown here both teachers studentsand also staff security above case student well manured classes regular sports dailyparticipation wellquality below average,less time study less time paper attemtingless time every thing less knowlegeless depth course proper course material according exam,nice timing,not good,very nicebut books not availabe every time,very highneed take down some accitivties noise pollition university always big problem
